"nie","nieSuperviseur","nom","prenom","contactNumero","contactEmail","sexe","heuresAbsences[]","joursCongesVacances[]","joursCongesMaladie[]","poste","departement","debutContrat","finContrat","typeContrat","tauxHoraire","suplementHoraire","heuresParJour","certifications","formations"
"1","0","Dirhektriss","Marie","611223344","marie.dirhektriss@openhr.fr","FEMME","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10, 0, 1, 0, 13, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","PDG","Direction","01/03/2001","17/08/292278994","CDI","34.0","0.0","5","[A, B]","[D, E]"
"2","0","Au Boulot","Serge","611223345","serge.auboulot@openhr.fr","HOMME","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]","DRH","Direction","01/11/2015","17/08/292278994","CDI","30.0","4.0","5","[B, C, E]","[B, C, E]"
"3","0","Dirhigeant","Eric","611223346","eric.dirhigeant@openhr.fr","HOMME","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 4, 5, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]","Chef de chantier","Construction","01/03/2001","17/08/292278994","CDI","20.0","0.0","7","[D, E]","[A, B]"
"4","2","Roulée","Lisa","611223347","lisa.roulee@openhr.fr","FEMME","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 2, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","RH","Direction","01/09/2023","30/06/2024","APPRENTISSAGE","11.65","1.0","5","[A, B]","[B, C, E]"
"5","2","Papier","Pierre","611223348","pierre.papier@openhr.fr","HOMME","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]","RH","Direction","01/07/2022","17/08/292278994","CDI","15.3","0.0","7","[A, J]","[D]"
"6","3","De La Brique","Pierre","611223349","pierre.delabrique@openhr.fr","HOMME","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Maçon","Construction","01/03/2001","17/08/292278994","CDI","10.49","3.3","7","[C]","[A, J]"
"7","3","Ciment","Simon","611223350","simon.ciment@openhr.fr","HOMME","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Maçon","Construction","01/03/2001","17/08/292278994","CDI","10.49","4.1","7","[B, F]","[D, E]"
"8","3","Ilfaitrien","Dimon","611223351","dimon.ilfaitrien@openhr.fr","HOMME","[0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Soudeur","Construction","01/03/2024","01/09/2023","PROFESSIONNALISATION","8.392","0.0","7","[A, B]","[B, F]"
"9","3","Qui-conduit","Jean","611223352","jean.quiconduit@openhr.fr","HOMME","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Chauffeur","Construction","01/03/2021","17/08/292278994","CDI","10.49","0.0","7","[B, C, E]","[A, B]"
"10","3","Zassipan","Vova","611223353","vova.zassipan@openhr.fr","HOMME","[0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Métalliste","Construction","01/04/2024","01/08/2024","CDD","10.25","1.1","7","[D, E]","[F, J]"
"21","3","Lee","Kouiet","711223351","kouiet.lee@openhr.fr","FEMME","[0, 3, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Soudeur","Construction","01/03/2024","30/04/2024","STAGE","5.22","0.0","7","[A, B]","[F]"
"12","3","Michel","Marty","611223350","marty.michel@openhr.fr","HOMME","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Maçon","Construction","01/03/2001","17/08/292278994","CDI","10.49","4.1","7","[B, F]","[D, E]"
"13","2","Yel","Ahou","711223351","ahou.yel@openhr.fr","HOMME","[0, 3, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Soudeur","Construction","01/03/2024","30/04/2024","STAGE","5.22","0.0","7","[C, D]","[F, G]"
"14","3","Kra","Sava","611223351","sava.kra@openhr.fr","HOMME","[0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Soudeur","Construction","01/03/2024","01/09/2023","PROFESSIONNALISATION","8.392","0.0","7","[D]","[F]"
